Ax;Ay;Az;Gx;Gy;Gz;Room ;Obj,,
3576;-3572;15476;-167;-12;-53;33,25;35,17
3780;-3456;15408;-3;-594;-53;33,25;34,61
3800;-3064;15268;205;-491;-57;33,17;33,59
4020;-3004;15336;-79;-384;-93;33,17;33,37
4108;-2904;15316;-171;-398;-30;33,13;33,19
4252;-2836;15432;-210;-397;-21;33,07;33,33
4460;-2764;15448;-132;-916;13;33,07;33,33
4724;-2492;15092;-40;-323;-95;33,03;33,49
4760;-2624;15000;112;125;-131;33,03;33,59
4680;-2568;14988;-49;-99;-128;33,03;33,75
4656;-2564;15040;-170;-49;-104;33,03;34,9
4696;-2640;15160;-84;60;-87;33,03;34,77
4644;-2736;15272;-985;915;45;33,03;35,21
4356;-2680;15216;-859;929;48;33,07;35,81
4092;-3128;15328;-777;753;-28;33,13;36,11
4076;-3392;15324;-860;409;51;33,21;36,11
3768;-3360;15328;-523;313;-27;33,25;36,25
3668;-3532;15500;-664;205;27;33,25;36,29
3580;-3528;15400;-450;-23;7;33,29;36,25
3712;-3412;15548;-444;-84;59;33,35;35,95
3624;-3448;15208;-160;243;4;33,29;35,65
3732;-3508;15408;-352;31;-10;33,29;35,7
3596;-3440;15196;-373;-59;-3;33,29;34,87
3704;-3368;15228;43;-437;-63;33,29;34,1
3908;-3084;15612;-85;-358;-94;33,25;34,1
4156;-2972;15468;-49;-349;-94;33,21;33,33
4288;-2880;15172;113;-281;-139;33,17;33,7
4384;-2804;15044;154;-498;-162;33,17;33,33
4512;-2676;15080;297;-667;-143;33,13;33,59
4864;-2452;15144;64;-630;-109;33,13;33,71
4832;-2372;15404;-442;102;-52;33,13;33,97
4916;-2300;15240;-413;206;-1;33,13;34,17
4864;-2408;15408;-719;204;8;33,13;34,47
4788;-2604;15552;-1329;206;204;33,13;34,47
4552;-2576;15176;-818;608;33;33,17;35,21
4288;-2812;15520;-770;510;13;33,21;35,59
4108;-2844;15412;-816;387;39;33,25;35,99
3940;-3004;15164;88;-83;-93;33,29;36,17
3808;-3164;15504;-578;325;-13;33,35;36,17
3748;-2936;15484;3;18;-188;33,39;36,21
4572;-2168;15196;223;-2638;-1166;33,39;36,33
5564;-2812;16076;-411;-2725;-1055;33,35;36,37
8840;-1504;12676;31153;-6051;-11800;33,43;36,95
6588;-324;11784;946;-10181;-5092;33,43;36,95
11016;312;12124;-7333;-4802;5954;33,43;37,3
16172;-4552;7936;5649;-5485;-505;33,43;37,57
13300;-3148;5892;1486;-4102;-533;33,39;37,49
15324;-2748;6600;-1015;175;106;33,39;35,69
14528;-3996;7588;-2080;12162743;33,29;33,97;
12104;-5304;7588;1715;2913;-2295;33,29;33,45
12552;-5768;8624;-71;1790;82;33,29;33,37
12664;-4596;9084;-628;988;-214;33,29;34,47
12580;-4452;8996;71;357;-468;33,29;34,47
12892;-4512;9100;-224;151;-394;33,29;34,91
12740;-4320;9716;-297;87;207;33,29;35,25
12676;-4344;9176;-124;-219;-249;33,29;35,47
12752;-4120;9176;-259;52;-51;33,29;35,59
12800;-4244;9432;-451;-34;-26;33,29;35,65
12704;-4176;9420;-288;130;-54;33,29;35,65
12716;-4216;9152;-370;137;28;33,35;35,77
12600;-4432;9356;-322;125;-30;33,35;35,77
12680;-4164;9192;-160;-131;-128;33,35;35,77
12732;-4312;9224;-291;-107;-59;33,39;35,81
12644;-4300;8920;-288;-114;-44;33,39;35,85
12688;-4204;9052;92;-5;-228;33,39;35,85
12672;-3780;9212;607;708;-306;33,43;35,85
12416;-4072;9724;30;352;332;33,39;35,85
12560;-4004;9568;-303;-682;-126;33,39;35,59
12668;-4044;9372;-85;-481;-148;33,43;35,47
12728;-3888;9328;166;-475;-212;33,39;35,39
13032;-3664;9180;617;-1214;-630;33,43;35,39
13572;-3176;8532;-472;-1226;21;33,43;35,39
